InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateTime,IsCancelled,IsProduct
536974,POST,POSTAGE,2,12/3/10 13:59,18.0,12682.0,France,2010-12-03 13:59:00,False,False
536981,M,Manual,2,12/3/10 14:26,0.85,14723.0,United Kingdom,2010-12-03 14:26:00,False,False
536983,POST,POSTAGE,1,12/3/10 14:30,18.0,12712.0,Germany,2010-12-03 14:30:00,False,False
536990,POST,POSTAGE,1,12/3/10 15:14,28.0,12793.0,Portugal,2010-12-03 15:14:00,False,False
537022,POST,POSTAGE,2,12/3/10 15:45,28.0,12725.0,Italy,2010-12-03 15:45:00,False,False
537026,POST,POSTAGE,2,12/3/10 16:35,18.0,12395.0,Belgium,2010-12-03 16:35:00,False,False
537065,POST,POSTAGE,9,12/5/10 11:57,18.0,12567.0,France,2010-12-05 11:57:00,False,False
537077,M,Manual,12,12/5/10 11:59,0.42,17062.0,United Kingdom,2010-12-05 11:59:00,False,False
537137,M,Manual,36,12/5/10 12:43,0.85,16327.0,United Kingdom,2010-12-05 12:43:00,False,False
537140,M,Manual,1,12/5/10 12:53,0.42,12748.0,United Kingdom,2010-12-05 12:53:00,False,False
537140,M,Manual,1,12/5/10 12:53,0.85,12748.0,United Kingdom,2010-12-05 12:53:00,False,False
537197,POST,POSTAGE,3,12/5/10 14:02,18.0,12647.0,Germany,2010-12-05 14:02:00,False,False
537198,POST,POSTAGE,1,12/5/10 14:03,18.0,12647.0,Germany,2010-12-05 14:03:00,False,False
537199,M,Manual,1,12/5/10 14:06,0.65,15894.0,United Kingdom,2010-12-05 14:06:00,False,False
537201,POST,POSTAGE,6,12/5/10 14:19,18.0,12472.0,Germany,2010-12-05 14:19:00,False,False
537208,M,Manual,4,12/5/10 15:12,0.85,15889.0,United Kingdom,2010-12-05 15:12:00,False,False
537212,POST,POSTAGE,4,12/5/10 15:21,18.0,12720.0,Germany,2010-12-05 15:21:00,False,False
537225,M,Manual,1,12/5/10 16:41,1.0,12748.0,United Kingdom,2010-12-05 16:41:00,False,False
537237,DOT,DOTCOM POSTAGE,1,12/6/10 9:58,863.74,,United Kingdom,2010-12-06 09:58:00,False,False
537240,DOT,DOTCOM POSTAGE,1,12/6/10 10:08,940.87,,United Kingdom,2010-12-06 10:08:00,False,False
537246,POST,POSTAGE,1,12/6/10 10:27,28.0,12808.0,Portugal,2010-12-06 10:27:00,False,False
537250,POST,POSTAGE,1,12/6/10 10:43,18.0,12708.0,Germany,2010-12-06 10:43:00,False,False
537368,C2,CARRIAGE,1,12/6/10 12:40,50.0,14911.0,EIRE,2010-12-06 12:40:00,False,False
537377,M,Manual,12,12/6/10 13:01,0.19,15882.0,United Kingdom,2010-12-06 13:01:00,False,False
537378,C2,CARRIAGE,1,12/6/10 13:06,50.0,14911.0,EIRE,2010-12-06 13:06:00,False,False
537392,M,Manual,5,12/6/10 13:58,1.25,17068.0,United Kingdom,2010-12-06 13:58:00,False,False
537396,M,Manual,1,12/6/10 14:08,35.0,17223.0,United Kingdom,2010-12-06 14:08:00,False,False
537434,DOT,DOTCOM POSTAGE,1,12/6/10 16:57,950.99,,United Kingdom,2010-12-06 16:57:00,False,False
537435,M,Manual,2,12/6/10 16:58,5.95,17920.0,United Kingdom,2010-12-06 16:58:00,False,False
537463,POST,POSTAGE,4,12/7/10 10:08,18.0,12681.0,France,2010-12-07 10:08:00,False,False
537468,POST,POSTAGE,3,12/7/10 10:36,18.0,12567.0,France,2010-12-07 10:36:00,False,False
537534,M,Manual,1,12/7/10 11:48,924.59,,United Kingdom,2010-12-07 11:48:00,False,False
537594,POST,POSTAGE,5,12/7/10 12:28,18.0,12647.0,Germany,2010-12-07 12:28:00,False,False
537632,AMAZONFEE,AMAZON FEE,1,12/7/10 15:08,13541.33,,United Kingdom,2010-12-07 15:08:00,False,False
537638,DOT,DOTCOM POSTAGE,1,12/7/10 15:28,836.14,,United Kingdom,2010-12-07 15:28:00,False,False
537641,DOT,DOTCOM POSTAGE,1,12/7/10 15:32,229.74,,United Kingdom,2010-12-07 15:32:00,False,False
537642,DOT,DOTCOM POSTAGE,1,12/7/10 15:33,448.0,,United Kingdom,2010-12-07 15:33:00,False,False
537643,DOT,DOTCOM POSTAGE,1,12/7/10 15:34,593.15,,United Kingdom,2010-12-07 15:34:00,False,False
537645,DOT,DOTCOM POSTAGE,1,12/7/10 15:34,607.96,,United Kingdom,2010-12-07 15:34:00,False,False
537666,DOT,DOTCOM POSTAGE,1,12/7/10 18:36,701.95,,United Kingdom,2010-12-07 18:36:00,False,False
537673,POST,POSTAGE,7,12/8/10 9:49,18.0,12709.0,Germany,2010-12-08 09:49:00,False,False
537693,POST,POSTAGE,1,12/8/10 10:45,18.0,12441.0,France,2010-12-08 10:45:00,False,False
537800,M,Manual,12,12/8/10 13:08,0.19,12748.0,United Kingdom,2010-12-08 13:08:00,False,False
537804,M,Manual,12,12/8/10 13:17,2.95,12748.0,United Kingdom,2010-12-08 13:17:00,False,False
537804,M,Manual,12,12/8/10 13:17,0.19,12748.0,United Kingdom,2010-12-08 13:17:00,False,False
537818,POST,POSTAGE,6,12/8/10 13:53,28.0,12766.0,Portugal,2010-12-08 13:53:00,False,False
537823,DOT,DOTCOM POSTAGE,1,12/8/10 14:25,729.42,,United Kingdom,2010-12-08 14:25:00,False,False
537892,POST,POSTAGE,1,12/9/10 10:13,18.0,12481.0,Germany,2010-12-09 10:13:00,False,False
537894,POST,POSTAGE,2,12/9/10 10:16,18.0,12621.0,Germany,2010-12-09 10:16:00,False,False
537897,POST,POSTAGE,1,12/9/10 10:37,18.0,12683.0,France,2010-12-09 10:37:00,False,False
537915,POST,POSTAGE,1,12/9/10 10:55,28.0,12797.0,Portugal,2010-12-09 10:55:00,False,False
537963,C2,CARRIAGE,1,12/9/10 11:30,50.0,13369.0,United Kingdom,2010-12-09 11:30:00,False,False
537967,POST,POSTAGE,1,12/9/10 11:31,18.0,12494.0,France,2010-12-09 11:31:00,False,False
537995,POST,POSTAGE,2,12/9/10 11:39,18.0,12712.0,Germany,2010-12-09 11:39:00,False,False
538002,C2,CARRIAGE,1,12/9/10 11:48,50.0,14932.0,Channel Islands,2010-12-09 11:48:00,False,False
538003,POST,POSTAGE,8,12/9/10 12:05,18.0,12429.0,Denmark,2010-12-09 12:05:00,False,False
538008,POST,POSTAGE,5,12/9/10 12:17,18.0,12683.0,France,2010-12-09 12:17:00,False,False
538071,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,12/9/10 14:09,16.13,,United Kingdom,2010-12-09 14:09:00,False,False
538071,DOT,DOTCOM POSTAGE,1,12/9/10 14:09,885.94,,United Kingdom,2010-12-09 14:09:00,False,False
538093,POST,POSTAGE,5,12/9/10 14:49,18.0,12682.0,France,2010-12-09 14:49:00,False,False
538147,M,Manual,1,12/9/10 16:11,15.0,13090.0,United Kingdom,2010-12-09 16:11:00,False,False
538148,DOT,DOTCOM POSTAGE,1,12/9/10 16:26,547.32,,United Kingdom,2010-12-09 16:26:00,False,False
538149,DOT,DOTCOM POSTAGE,1,12/9/10 16:27,620.68,,United Kingdom,2010-12-09 16:27:00,False,False
538153,DOT,DOTCOM POSTAGE,1,12/9/10 16:31,822.94,,United Kingdom,2010-12-09 16:31:00,False,False
538154,DOT,DOTCOM POSTAGE,1,12/9/10 16:35,85.79,,United Kingdom,2010-12-09 16:35:00,False,False
538175,POST,POSTAGE,21,12/10/10 9:48,18.0,12471.0,Germany,2010-12-10 09:48:00,False,False
538177,DOT,DOTCOM POSTAGE,1,12/10/10 9:51,847.42,,United Kingdom,2010-12-10 09:51:00,False,False
538196,POST,POSTAGE,8,12/10/10 10:56,18.0,12731.0,France,2010-12-10 10:56:00,False,False
538311,POST,POSTAGE,2,12/10/10 13:48,28.0,12785.0,Portugal,2010-12-10 13:48:00,False,False
538349,DCGS0003,BOXED GLASS ASHTRAY,1,12/10/10 14:59,2.51,,United Kingdom,2010-12-10 14:59:00,False,False
538349,DOT,DOTCOM POSTAGE,1,12/10/10 14:59,907.47,,United Kingdom,2010-12-10 14:59:00,False,False
538524,DOT,DOTCOM POSTAGE,1,12/13/10 9:35,641.86,,United Kingdom,2010-12-13 09:35:00,False,False
538525,POST,POSTAGE,5,12/13/10 9:39,28.0,12540.0,Spain,2010-12-13 09:39:00,False,False
538566,DOT,DOTCOM POSTAGE,1,12/13/10 11:21,584.59,,United Kingdom,2010-12-13 11:21:00,False,False
538597,M,Manual,1,12/13/10 12:26,1.25,15555.0,United Kingdom,2010-12-13 12:26:00,False,False
538685,POST,POSTAGE,1,12/14/10 9:39,15.0,15694.0,United Kingdom,2010-12-14 09:39:00,False,False
538707,M,Manual,2,12/14/10 10:38,0.21,17894.0,United Kingdom,2010-12-14 10:38:00,False,False
538807,M,Manual,4,12/14/10 12:06,0.21,17194.0,United Kingdom,2010-12-14 12:06:00,False,False
538807,M,Manual,1,12/14/10 12:06,20.0,17194.0,United Kingdom,2010-12-14 12:06:00,False,False
538807,M,Manual,1,12/14/10 12:06,5.0,17194.0,United Kingdom,2010-12-14 12:06:00,False,False
538880,DOT,DOTCOM POSTAGE,1,12/14/10 15:52,113.45,,United Kingdom,2010-12-14 15:52:00,False,False
538881,DOT,DOTCOM POSTAGE,1,12/14/10 15:54,198.17,,United Kingdom,2010-12-14 15:54:00,False,False
538883,DOT,DOTCOM POSTAGE,1,12/14/10 15:56,340.72,,United Kingdom,2010-12-14 15:56:00,False,False
538884,DOT,DOTCOM POSTAGE,1,12/14/10 15:56,146.85,,United Kingdom,2010-12-14 15:56:00,False,False
539014,M,Manual,48,12/15/10 13:37,0.32,17692.0,United Kingdom,2010-12-15 13:37:00,False,False
539056,M,Manual,1,12/15/10 16:38,1.45,16725.0,United Kingdom,2010-12-15 16:38:00,False,False
539317,M,Manual,2,12/16/10 19:04,3.0,17392.0,United Kingdom,2010-12-16 19:04:00,False,False
539318,POST,POSTAGE,6,12/16/10 19:09,40.0,12348.0,Finland,2010-12-16 19:09:00,False,False
539327,POST,POSTAGE,1,12/17/10 9:24,18.0,12600.0,Germany,2010-12-17 09:24:00,False,False
539330,POST,POSTAGE,3,12/17/10 9:38,40.0,12370.0,Austria,2010-12-17 09:38:00,False,False
539337,C2,CARRIAGE,1,12/17/10 10:46,50.0,,EIRE,2010-12-17 10:46:00,False,False
539353,POST,POSTAGE,3,12/17/10 11:30,28.0,12782.0,Portugal,2010-12-17 11:30:00,False,False
539391,POST,POSTAGE,2,12/17/10 11:51,15.0,12417.0,Belgium,2010-12-17 11:51:00,False,False
539395,POST,POSTAGE,11,12/17/10 11:52,18.0,12471.0,Germany,2010-12-17 11:52:00,False,False
539403,POST,POSTAGE,2,12/17/10 12:21,18.0,12647.0,Germany,2010-12-17 12:21:00,False,False
539405,POST,POSTAGE,6,12/17/10 12:38,18.0,12621.0,Germany,2010-12-17 12:38:00,False,False
539407,POST,POSTAGE,1,12/17/10 12:56,18.0,12726.0,France,2010-12-17 12:56:00,False,False
539408,POST,POSTAGE,3,12/17/10 12:56,18.0,12720.0,Germany,2010-12-17 12:56:00,False,False
539421,C2,CARRIAGE,1,12/17/10 14:21,50.0,14016.0,EIRE,2010-12-17 14:21:00,False,False
539434,DOT,DOTCOM POSTAGE,1,12/17/10 14:41,510.79,,United Kingdom,2010-12-17 14:41:00,False,False
539435,POST,POSTAGE,1,12/17/10 14:46,18.0,12691.0,France,2010-12-17 14:46:00,False,False
539436,DOT,DOTCOM POSTAGE,1,12/17/10 14:49,565.37,,United Kingdom,2010-12-17 14:49:00,False,False
539437,DOT,DOTCOM POSTAGE,1,12/17/10 14:54,803.55,,United Kingdom,2010-12-17 14:54:00,False,False
539446,POST,POSTAGE,9,12/17/10 15:58,18.0,12705.0,Germany,2010-12-17 15:58:00,False,False
539447,POST,POSTAGE,3,12/17/10 16:00,18.0,12395.0,Belgium,2010-12-17 16:00:00,False,False
539451,DCGS0003,BOXED GLASS ASHTRAY,1,12/17/10 16:59,2.51,,United Kingdom,2010-12-17 16:59:00,False,False
539451,DOT,DOTCOM POSTAGE,1,12/17/10 16:59,662.14,,United Kingdom,2010-12-17 16:59:00,False,False
539453,DOT,DOTCOM POSTAGE,1,12/17/10 17:08,603.62,,United Kingdom,2010-12-17 17:08:00,False,False
539457,M,Manual,2,12/17/10 17:24,1.0,,United Kingdom,2010-12-17 17:24:00,False,False
539466,POST,POSTAGE,4,12/19/10 12:46,18.0,12668.0,Germany,2010-12-19 12:46:00,False,False
539473,C2,CARRIAGE,1,12/19/10 14:24,50.0,14911.0,EIRE,2010-12-19 14:24:00,False,False
539491,POST,POSTAGE,1,12/20/10 10:09,15.0,14646.0,Netherlands,2010-12-20 10:09:00,False,False
539492,gift_0001_40,Dotcomgiftshop Gift Voucher £40.00,1,12/20/10 10:14,34.04,,United Kingdom,2010-12-20 10:14:00,False,False
539492,DOT,DOTCOM POSTAGE,1,12/20/10 10:14,396.81,,United Kingdom,2010-12-20 10:14:00,False,False
539551,POST,POSTAGE,1,12/20/10 11:38,18.0,12721.0,France,2010-12-20 11:38:00,False,False
539595,DOT,DOTCOM POSTAGE,1,12/20/10 13:43,350.78,,United Kingdom,2010-12-20 13:43:00,False,False
539607,POST,POSTAGE,5,12/20/10 14:10,18.0,12681.0,France,2010-12-20 14:10:00,False,False
539631,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,2,12/20/10 15:03,16.13,,United Kingdom,2010-12-20 15:03:00,False,False
539631,DOT,DOTCOM POSTAGE,1,12/20/10 15:03,250.83,,United Kingdom,2010-12-20 15:03:00,False,False
539636,POST,POSTAGE,6,12/20/10 15:15,18.0,12481.0,Germany,2010-12-20 15:15:00,False,False
539651,M,Manual,1,12/20/10 16:19,22.0,,United Kingdom,2010-12-20 16:19:00,False,False
539676,POST,POSTAGE,3,12/21/10 10:54,15.0,12423.0,Belgium,2010-12-21 10:54:00,False,False
539688,C2,CARRIAGE,1,12/21/10 11:00,150.0,12678.0,France,2010-12-21 11:00:00,False,False
539708,DOT,DOTCOM POSTAGE,1,12/21/10 12:18,182.37,,United Kingdom,2010-12-21 12:18:00,False,False
539718,DCGS0070,CAMOUFLAGE DOG COLLAR,1,12/21/10 13:06,12.72,,United Kingdom,2010-12-21 13:06:00,False,False
539718,DOT,DOTCOM POSTAGE,1,12/21/10 13:06,112.37,,United Kingdom,2010-12-21 13:06:00,False,False
539727,POST,POSTAGE,1,12/21/10 14:26,18.0,12678.0,France,2010-12-21 14:26:00,False,False
539735,DOT,DOTCOM POSTAGE,1,12/21/10 15:17,164.55,,United Kingdom,2010-12-21 15:17:00,False,False
539736,m,Manual,1,12/21/10 15:18,2.55,,United Kingdom,2010-12-21 15:18:00,False,False
539736,DOT,DOTCOM POSTAGE,1,12/21/10 15:18,337.23,,United Kingdom,2010-12-21 15:18:00,False,False
539737,DOT,DOTCOM POSTAGE,1,12/21/10 15:19,514.0,,United Kingdom,2010-12-21 15:19:00,False,False
539738,DOT,DOTCOM POSTAGE,1,12/21/10 15:19,549.79,,United Kingdom,2010-12-21 15:19:00,False,False
539739,DOT,DOTCOM POSTAGE,1,12/21/10 15:19,324.43,,United Kingdom,2010-12-21 15:19:00,False,False
539740,DOT,DOTCOM POSTAGE,1,12/21/10 15:20,311.66,,United Kingdom,2010-12-21 15:20:00,False,False
539741,DOT,DOTCOM POSTAGE,1,12/21/10 15:20,128.6,,United Kingdom,2010-12-21 15:20:00,False,False
539742,DOT,DOTCOM POSTAGE,1,12/21/10 15:20,114.34,,United Kingdom,2010-12-21 15:20:00,False,False
539743,DOT,DOTCOM POSTAGE,1,12/21/10 15:20,103.57,,United Kingdom,2010-12-21 15:20:00,False,False
539744,DOT,DOTCOM POSTAGE,1,12/21/10 15:21,189.57,,United Kingdom,2010-12-21 15:21:00,False,False
539745,DOT,DOTCOM POSTAGE,1,12/21/10 15:21,152.68,,United Kingdom,2010-12-21 15:21:00,False,False
539746,DOT,DOTCOM POSTAGE,1,12/21/10 15:22,50.6,,United Kingdom,2010-12-21 15:22:00,False,False
539747,DOT,DOTCOM POSTAGE,1,12/21/10 15:23,50.64,,United Kingdom,2010-12-21 15:23:00,False,False
539748,DOT,DOTCOM POSTAGE,1,12/21/10 15:23,29.53,,United Kingdom,2010-12-21 15:23:00,False,False
539752,POST,POSTAGE,3,12/21/10 15:43,35.0,12515.0,Italy,2010-12-21 15:43:00,False,False
539840,POST,POSTAGE,3,12/22/10 14:28,15.0,12383.0,Belgium,2010-12-22 14:28:00,False,False
539856,M,Manual,1,12/22/10 14:41,1298.4,,United Kingdom,2010-12-22 14:41:00,False,False
539946,POST,POSTAGE,1,12/23/10 11:46,18.0,13817.0,Germany,2010-12-23 11:46:00,False,False
539957,POST,POSTAGE,6,12/23/10 12:58,18.0,12585.0,Germany,2010-12-23 12:58:00,False,False
539958,gift_0001_50,Dotcomgiftshop Gift Voucher £50.00,1,12/23/10 13:26,42.55,,United Kingdom,2010-12-23 13:26:00,False,False
539958,DOT,DOTCOM POSTAGE,1,12/23/10 13:26,627.47,,United Kingdom,2010-12-23 13:26:00,False,False
539984,C2,CARRIAGE,1,12/23/10 14:58,50.0,14911.0,EIRE,2010-12-23 14:58:00,False,False
539988,M,Manual,18,12/23/10 16:06,0.2,18116.0,United Kingdom,2010-12-23 16:06:00,False,False
540021,M,Manual,1,1/4/11 12:51,1.25,17841.0,United Kingdom,2011-01-04 12:51:00,False,False
540026,DOT,DOTCOM POSTAGE,1,1/4/11 13:25,469.7,,United Kingdom,2011-01-04 13:25:00,False,False
540040,POST,POSTAGE,5,1/4/11 14:20,40.0,12483.0,Sweden,2011-01-04 14:20:00,False,False
540073,M,Manual,6,1/4/11 14:47,1.65,16814.0,United Kingdom,2011-01-04 14:47:00,False,False
540116,DOT,DOTCOM POSTAGE,1,1/5/11 9:54,2.51,,United Kingdom,2011-01-05 09:54:00,False,False
540154,DOT,DOTCOM POSTAGE,1,1/5/11 11:30,192.86,,United Kingdom,2011-01-05 11:30:00,False,False
540178,POST,POSTAGE,3,1/5/11 12:42,18.0,12681.0,France,2011-01-05 12:42:00,False,False
540238,gift_0001_30,Dotcomgiftshop Gift Voucher £30.00,1,1/5/11 14:44,25.53,,United Kingdom,2011-01-05 14:44:00,False,False
540238,DOT,DOTCOM POSTAGE,1,1/5/11 14:44,109.19,,United Kingdom,2011-01-05 14:44:00,False,False
540238,gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,1,1/5/11 14:44,17.02,,United Kingdom,2011-01-05 14:44:00,False,False
540239,POST,POSTAGE,4,1/5/11 14:48,18.0,12682.0,France,2011-01-05 14:48:00,False,False
540242,M,Manual,1,1/5/11 15:30,18.95,15046.0,United Kingdom,2011-01-05 15:30:00,False,False
540255,DOT,DOTCOM POSTAGE,1,1/5/11 16:50,219.24,,United Kingdom,2011-01-05 16:50:00,False,False
540278,M,Manual,1,1/6/11 12:31,1.65,15719.0,United Kingdom,2011-01-06 12:31:00,False,False
540351,POST,POSTAGE,2,1/6/11 14:26,18.0,12735.0,France,2011-01-06 14:26:00,False,False
540352,DOT,DOTCOM POSTAGE,1,1/6/11 14:27,306.35,,United Kingdom,2011-01-06 14:27:00,False,False
540365,POST,POSTAGE,3,1/6/11 16:12,18.0,12413.0,France,2011-01-06 16:12:00,False,False
540410,POST,POSTAGE,3,1/7/11 10:04,18.0,12530.0,Germany,2011-01-07 10:04:00,False,False
540414,POST,POSTAGE,3,1/7/11 10:32,18.0,12481.0,Germany,2011-01-07 10:32:00,False,False
540418,DOT,DOTCOM POSTAGE,1,1/7/11 11:04,369.95,,United Kingdom,2011-01-07 11:04:00,False,False
540455,POST,POSTAGE,3,1/7/11 12:07,18.0,12583.0,France,2011-01-07 12:07:00,False,False
540458,POST,POSTAGE,8,1/7/11 12:28,18.0,12501.0,Germany,2011-01-07 12:28:00,False,False
540463,POST,POSTAGE,2,1/7/11 13:13,18.0,12489.0,France,2011-01-07 13:13:00,False,False
540468,DOT,DOTCOM POSTAGE,1,1/7/11 13:55,278.97,,United Kingdom,2011-01-07 13:55:00,False,False
540469,POST,POSTAGE,4,1/7/11 14:04,28.0,12484.0,Spain,2011-01-07 14:04:00,False,False
540480,POST,POSTAGE,4,1/7/11 15:27,18.0,12480.0,Germany,2011-01-07 15:27:00,False,False
540519,POST,POSTAGE,2,1/9/11 12:12,28.0,12793.0,Portugal,2011-01-09 12:12:00,False,False
540546,POST,POSTAGE,3,1/9/11 15:56,28.0,12766.0,Portugal,2011-01-09 15:56:00,False,False
540547,C2,CARRIAGE,1,1/9/11 16:07,50.0,14911.0,EIRE,2011-01-09 16:07:00,False,False
540551,DOT,DOTCOM POSTAGE,1,1/10/11 9:43,557.0,,United Kingdom,2011-01-10 09:43:00,False,False
540553,POST,POSTAGE,1,1/10/11 9:48,18.0,12500.0,Germany,2011-01-10 09:48:00,False,False
540562,POST,POSTAGE,3,1/10/11 10:35,18.0,12524.0,Germany,2011-01-10 10:35:00,False,False
540566,M,Manual,1,1/10/11 10:58,6.7,17811.0,United Kingdom,2011-01-10 10:58:00,False,False
540642,POST,POSTAGE,7,1/10/11 13:22,18.0,12681.0,France,2011-01-10 13:22:00,False,False
540646,DOT,DOTCOM POSTAGE,1,1/10/11 14:32,262.73,,United Kingdom,2011-01-10 14:32:00,False,False
540681,DOT,DOTCOM POSTAGE,1,1/10/11 16:25,223.35,,United Kingdom,2011-01-10 16:25:00,False,False
540688,POST,POSTAGE,5,1/11/11 7:57,18.0,12736.0,France,2011-01-11 07:57:00,False,False
540699,POST,,1000,1/11/11 9:32,0.0,,United Kingdom,2011-01-11 09:32:00,False,False
540769,POST,POSTAGE,1,1/11/11 10:38,18.0,12601.0,Germany,2011-01-11 10:38:00,False,False
540789,POST,POSTAGE,2,1/11/11 11:48,18.0,12643.0,France,2011-01-11 11:48:00,False,False
540801,POST,POSTAGE,6,1/11/11 12:25,28.0,12540.0,Spain,2011-01-11 12:25:00,False,False
540821,DOT,DOTCOM POSTAGE,1,1/11/11 13:16,394.83,,United Kingdom,2011-01-11 13:16:00,False,False
540824,POST,POSTAGE,2,1/11/11 13:31,18.0,12728.0,France,2011-01-11 13:31:00,False,False
540835,POST,POSTAGE,1,1/11/11 15:00,18.0,12724.0,France,2011-01-11 15:00:00,False,False
540839,M,Manual,1,1/11/11 15:42,12.75,16791.0,United Kingdom,2011-01-11 15:42:00,False,False
540848,DOT,DOTCOM POSTAGE,1,1/12/11 9:26,491.93,,United Kingdom,2011-01-12 09:26:00,False,False
540900,POST,POSTAGE,2,1/12/11 11:46,18.0,12712.0,Germany,2011-01-12 11:46:00,False,False
540971,POST,POSTAGE,4,1/12/11 14:10,15.0,12383.0,Belgium,2011-01-12 14:10:00,False,False
540972,POST,POSTAGE,3,1/12/11 14:13,18.0,12437.0,France,2011-01-12 14:13:00,False,False
540976,POST,POSTAGE,7,1/12/11 15:00,18.0,12652.0,France,2011-01-12 15:00:00,False,False
540977,DOT,DOTCOM POSTAGE,1,1/12/11 15:01,478.1,,United Kingdom,2011-01-12 15:01:00,False,False
540995,gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,1,1/13/11 9:30,16.67,,United Kingdom,2011-01-13 09:30:00,False,False
540995,DOT,DOTCOM POSTAGE,1,1/13/11 9:30,404.49,,United Kingdom,2011-01-13 09:30:00,False,False
541093,POST,POSTAGE,5,1/13/11 13:21,18.0,12471.0,Germany,2011-01-13 13:21:00,False,False
541104,DOT,DOTCOM POSTAGE,1,1/13/11 14:29,323.98,,United Kingdom,2011-01-13 14:29:00,False,False
541115,POST,POSTAGE,7,1/13/11 15:34,28.0,12578.0,Italy,2011-01-13 15:34:00,False,False
541120,POST,POSTAGE,5,1/14/11 9:13,18.0,12490.0,France,2011-01-14 09:13:00,False,False
541122,POST,POSTAGE,2,1/14/11 9:23,18.0,12708.0,Germany,2011-01-14 09:23:00,False,False
541125,POST,POSTAGE,1,1/14/11 10:06,18.0,12474.0,Germany,2011-01-14 10:06:00,False,False
541127,DOT,DOTCOM POSTAGE,1,1/14/11 10:11,50.96,,United Kingdom,2011-01-14 10:11:00,False,False
541128,DOT,DOTCOM POSTAGE,1,1/14/11 10:12,60.79,,United Kingdom,2011-01-14 10:12:00,False,False
541129,DOT,DOTCOM POSTAGE,1,1/14/11 10:14,81.42,,United Kingdom,2011-01-14 10:14:00,False,False
541130,DOT,DOTCOM POSTAGE,1,1/14/11 10:15,138.0,,United Kingdom,2011-01-14 10:15:00,False,False
541131,DOT,DOTCOM POSTAGE,1,1/14/11 10:16,156.21,,United Kingdom,2011-01-14 10:16:00,False,False
541132,DOT,DOTCOM POSTAGE,1,1/14/11 10:17,127.54,,United Kingdom,2011-01-14 10:17:00,False,False
541133,M,Manual,1,1/14/11 10:17,2.5,,United Kingdom,2011-01-14 10:17:00,False,False
541133,DOT,DOTCOM POSTAGE,1,1/14/11 10:17,120.88,,United Kingdom,2011-01-14 10:17:00,False,False
541138,POST,POSTAGE,6,1/14/11 10:42,18.0,12553.0,France,2011-01-14 10:42:00,False,False
541219,DOT,DOTCOM POSTAGE,1,1/14/11 14:06,391.32,,United Kingdom,2011-01-14 14:06:00,False,False
541224,POST,POSTAGE,1,1/14/11 14:45,18.0,12474.0,Germany,2011-01-14 14:45:00,False,False
541265,M,Manual,2,1/16/11 16:23,1.25,17609.0,United Kingdom,2011-01-16 16:23:00,False,False
